hafas-id,name
mecklenburgische-baderbahn-molli,Mecklenburgische Bäderbahn Molli
meiringen-innertkirchen-bahn,Meiringen-Innertkirchen-Bahn
merseyrail-service,Merseyrail Service
metronom,metronom
metroselskabet,Metroselskabet
midttrafik,Midttrafik
mitteldeutsche-regiobahn,Mitteldeutsche Regiobahn
mittelrheinbahn-trans-regio,MittelrheinBahn (Trans Regio)
mnv-mittelhaardt-nahverkehrsgesellschaft,MNV Mittelhaardt Nahverkehrsgesellschaft
mobiel-gmbh,moBiel GmbH
montafoner-bahn,Montafoner Bahn
montreux-oberland-bernois,Montreux-Oberland Bernois
montreux-vevey-riviera,Montreux-Vevey-Riviera
morschach-stoos,Morschach-Stoos
movia-bus,Movia Bus
movia-lokalbanen,Movia Lokalbanen
msm-partyzug,MSM Partyzug
muhleggbahn-ag,Mühleggbahn AG
muhleggbahn-ag-st-gallen,Mühleggbahn AG St. Gallen
nachtexpress,NachtExpress
national-express,National Express
navigation-lac-des-brenets,Navigation Lac des Brenets
neb-niederbarnimer-eisenbahn,NEB Niederbarnimer Eisenbahn
nederlandse-spoorwegen,Nederlandse Spoorwegen
nexus-tyne-wear-metro,Nexus (Tyne&Wear Metro)
niederhornbahn-ag,Niederhornbahn AG
niesenbahn,Niesenbahn
no-verkehrsorganisations-ges-m-b-h,NÖ Verkehrsorganisations-ges.m.b.H.
nordbahn,Nordbahn Eisenbahngesellschaft
norddeutsche-eisenbahn-gesellschaft,Norddeutsche Eisenbahn Gesellschaft
nordjyske-jernbaner,Nordjyske Jernbaner
nordwestbahn,NordWestBahn
northern,Northern
nyon-st-cergue-morez,Nyon-St-Cergue-Morez
obb-postbus,ÖBB-Postbus
oberpfalz-express-die-landerbahn-gmbh-dlb,oberpfalz-express - Die Länderbahn GmbH DLB
oberpfalzbahn-die-landerbahn-gmbh-dlb,oberpfalzbahn - Die Länderbahn GmbH DLB
ochsle-bahn-betriebsgesellschaft-mbh,Öchsle-Bahn-Betriebsgesellschaft mbH
odense-letbane,Odense Letbane
oresundstag,Öresundståg
orn-omnibusverkehr-rhein-nahe-gmbh-rhein-nahe-bus,ORN Omnibusverkehr Rhein-Nahe GmbH (Rhein-Nahe-Bus)
ortsbus-der-gemeinde-silvaplana-gemeinde-silvaplana,Ortsbus der Gemeinde Silvaplana / Gemeinde Silvaplana
ortsbus-st-moritz,Ortsbus St. Moritz
ostdeutsche-eisenbahn-gmbh,Ostdeutsche Eisenbahn GmbH
osterreichische-bundesbahnen,Österreichische Bundesbahnen
ouigo-espana,OUIGO España
palatinabus,PalatinaBus
pilatusbahnen,Pilatusbahnen
pkp-intercity,PKP Intercity
polonus,Polonus
polregio,Polregio
poly-bahn-zurich,Poly-Bahn Zürich
postauto-schweiz,PostAuto Schweiz
pradaschier-ag-top,Pradaschier AG Top
pressnitztalbahn,Pressnitztalbahn
prodkammbahnen-flumserberg-ag,Prodkammbahnen Flumserberg AG
qnv-queichtal-nahverkehr,QNV Queichtal Nahverkehr
queichtal-nahverkehr,Queichtal Nahverkehr
r-net,R-net
railway-capital-as,Railway Capital as
regiobahn,REGIOBAHN
regiobus-gossau-sg,Regiobus Gossau SG
regiobus-stuttgart,Regiobus Stuttgart
regiojet,RegioJet
regionalbus-braunschweig-gmbh,Regionalbus Braunschweig GmbH
regionalbus-lenzburg,Regionalbus Lenzburg
regionale-offentliche-bahn-der-stadt-pfullendorf,Regionale öffentliche Bahn der Stadt Pfullendorf
regionale-verkehrsbetriebe-baden-wettingen,Regionale Verkehrsbetriebe Baden-Wettingen
regionale-verkehrsbetriebe-schaffhausen,Regionale Verkehrsbetriebe Schaffhausen
regionalps,Regionalps
regionalps-bus,RegionAlps Bus
regionalverkehr-alb-bodensee,Regionalverkehr Alb-Bodensee
regionalverkehr-bern-solothurn,Regionalverkehr Bern-Solothurn
regionalverkehr-euregio-maas-rhein,Regionalverkehr Euregio Maas-Rhein
regionalverkehr-oberbayern,Regionalverkehr Oberbayern
regionalverkehre-start-deutschland-gmbh,Regionalverkehre Start Deutschland GmbH
regionalverkehre-start-deutschland-gmbh-start-niedersachsen-mitte,Regionalverkehre Start Deutschland GmbH (Start Niedersachsen-Mitte)
regionalverkehre-start-deutschland-gmbh-start-taunus,Regionalverkehre Start Deutschland GmbH (Start Taunus)
regionalverkehre-start-deutschland-gmbh-start-unterelbe,Regionalverkehre Start Deutschland GmbH (Start Unterelbe)
regiotram,RegioTram
reichenbachfall-bahn,Reichenbachfall-Bahn
reigoldswil-wasserfallen,Reigoldswil-Wasserfallen
remontees-mec-du-wildhorn-anzere,Remontées Méc. du Wildhorn Anzére
remontees-mecaniques-crans-montana-aminona,Remontées Mécaniques Crans-Montana-Aminona
renfe,RENFE
reseau-lihsa,Réseau Lihsa
rhatische-bahn,Rhätische Bahn
rhein-mosel-bus-ahrweiler,Rhein-Mosel-Bus Ahrweiler
rhein-neckar-verkehr-gmbh,Rhein-Neckar-Verkehr GmbH
rhein-neckar-verkehr-gmbh-oberrheinische-eisenbahn,Rhein-Neckar-Verkehr GmbH (Oberrheinische Eisenbahn)
rhein-neckar-verkehr-gmbh-rhein-haardtbahn,Rhein-Neckar-Verkehr GmbH (Rhein-Haardtbahn)
rhein-ruhr-bahn-transdev,Rhein-Ruhr-Bahn (Transdev)
rheinpfalzbus,Rheinpfalzbus
rheinruhrbahn-transdev,RheinRuhrBahn (Transdev)
rhenus-veniro,Rhenus Veniro
rigi-bahnen,Rigi-Bahnen
rmb-rhein-mosel-bus,RMB Rhein-Mosel-Bus
rosswald-bahnen-ag,Rosswald Bahnen AG
rumanische-eisenbahnen-caile-ferate-romane,Rumänische Eisenbahnen Caile Ferate Romane
rurtalbahn,Rurtalbahn
s-bahn-berlin,S-Bahn Berlin
s-bahn-hamburg,S-Bahn Hamburg
s-bahn-hannover-transdev,S-Bahn Hannover (Transdev)
saarbahn,Saarbahn
sachsisch-oberlausitzer-eisenbahngesellschaft,Sächsisch-Oberlausitzer Eisenbahngesellschaft
salzburger-lokalbahnen,Salzburger Lokalbahnen
savognin-bergbahnen-ag,Savognin-Bergbahnen AG
sbb,SBB
sbb-gmbh,SBB GmbH
scandlines,Scandlines
schiff-eglisau-tossegg,Schiff Eglisau-Tössegg
schiffsbetrieb-walensee,Schiffsbetrieb Walensee
schilthornbahn-sbm,Schilthornbahn (sbm)
schwabische-alb-bahn,Schwäbische Alb-Bahn
schwagalp-santis,Schwägalp-Säntis
schweizerische-bodensee-schiffahrtsgesellschaft,Schweizerische Bodensee-Schiffahrtsgesellschaft
schweizerische-sudostbahn-sob,Schweizerische Südostbahn (sob)
scuol-ftan-sent,Scuol-Ftan-Sent
sdg-sachsische-dampfeisenbahngesellschaft-mbh,SDG Sächsische Dampfeisenbahngesellschaft mbH
serbische-eisenbahnen-zeleznice-srbije,Serbische Eisenbahnen Zeleznice Srbije
sesselbahn-wildhaus-gamplut,Sesselbahn Wildhaus-Gamplüt
sev-baden-wurttemberg,SEV Baden-Württemberg
sibra,SIBRA
sierre-montana-crans,Sierre-Montana-Crans
sihltal-zurich-uetliberg-bahn,Sihltal-Zürich-Uetliberg-Bahn
sj,SJ
skanetrafiken,Skånetrafiken
skanetrafiken-oresundstag,Skånetrafiken Öresundståg
slovenske-zeleznice,Slovenske zeleznice
snalltaget,Snälltåget
snb-spree-neisse-busverkehr,SNB Spree-Neiße-Busverkehr
sncb,SNCB
sncf,SNCF
sncf-voyages-deutschland,SNCF Voyages Deutschland
societe-cooperative-du-chemin-de-fer-musee-blonay-chamby,Société coopérative du Chemin de fer - Musée Blonay-Chamby
societe-des-mouettes-genevoises-navigation,Société des Mouettes Genevoises Navigation
south-eastern,South Eastern
south-west-trains-service,South West Trains Service
southern,Southern
sportbahnen-bergun,Sportbahnen Bergün
sportbahnen-davos,Sportbahnen Davos
sportbahnen-melchsee-frutt,Sportbahnen Melchsee-Frutt
stadtbus-chur,Stadtbus Chur
stadtbus-frauenfeld,Stadtbus Frauenfeld
stadtbus-winterthur,Stadtbus Winterthur
stadtische-verkehrsbetriebe-bern,Städtische Verkehrsbetriebe Bern
stadtwerke-bonn,Stadtwerke Bonn
stalden-gspon,Stalden-Gspon
standseilbahn-schwyz-stoos-ag,Standseilbahn Schwyz-Stoos AG
stanserhornbahn,Stanserhornbahn
stechelberg-murren-schilthorn-lsms,Stechelberg-Mürren-Schilthorn (lsms)
steiermarkbahn-und-bus-gmbh,Steiermarkbahn und Bus GmbH
stern-hafferl-verkehrs-gmbh,Stern & Hafferl Verkehrs-GmbH
stockholm-transport,Stockholm Transport
stoosbahnen-ag,Stoosbahnen AG
sud-thuringen-bahn-gmbh,Süd-Thüringen-Bahn GmbH
sudbadenbus,Südbadenbus
sudtiroler-transportstrukturen-ag,Südtiroler Transportstrukturen AG
sudwestbus,Südwestbus
sudwestdeutsche-landesverkehrs-ag,Südwestdeutsche Landesverkehrs-AG
sudwestdeutsche-landesverkehrs-gmbh,Südwestdeutsche Landesverkehrs-GmbH
surlej-silvaplana-corvatsch,Surlej-Silvaplana-Corvatsch
svg-schienenverkehrsgesellschaft-stuttgart,SVG Schienenverkehrsgesellschaft Stuttgart
sweg-bahn-stuttgart-gmbh,SWEG Bahn Stuttgart GmbH
sweg-bahn-stuttgart-gmbh-ehem-abellio-bw,SWEG Bahn Stuttgart GmbH (ehem. Abellio BW)
sweg-sudwestdeutsche-landesverkehrs-gmbh,SWEG Südwestdeutsche Landesverkehrs-GmbH
sylt-shuttle-plus,Sylt Shuttle Plus
sylter-verkehrsgesellschaft,Sylter Verkehrsgesellschaft
szybka-kolej-miejska-w-trojmiescie,Szybka Kolej Miejska w Trójmiescie
szybka-kolej-miejska-w-warszawie,Szybka Kolej Miejska w Warszawie
tagkompaniet,Tågkompaniet
tcdd-turkiye-cumhuriyeti-devlet-demiryollari,TCDD Türkiye Cumhuriyeti Devlet Demiryollari
tele-champery-crosets-portes-du-soleil-sa,Télé Champéry - Crosets Portes du Soleil SA
tele-villars-gryon,Télé-Villars-Gryon
telesiege-buttes-la-robella,Télésiège Buttes-La Robella
telesiege-ovronnaz-jorasse,Télésiège Ovronnaz-Jorasse
televerbier,Téléverbier
thalys,THALYS
thameslink,Thameslink
thurbo,THURBO
touristik-eisenbahn-luneburger-heide-gmbh,Touristik-Eisenbahn Lüneburger Heide GmbH
transpennine-express,TransPennine Express
transport-publics-de-la-region-lausannoise,Transport publics de la Région Lausannoise
transports-de-la-region-morges-biere-cossonay,Transports de la région Morges-Bière-Cossonay
transports-de-martigny-et-regions-mc,Transports de Martigny et Régions (mc)
transports-publics-de-l-agglomeration-d-annemasse,Transports Publics de l agglomération d Annemasse
transports-publics-de-la-region-nyonnaise,Transports Publics de la Région Nyonnaise
transports-publics-du-chablais,Transports Publics du Chablais
transports-publics-fribourgeois,Transports publics fribourgeois
transports-publics-genevois,Transports Publics Genevois
transports-publics-neuchatelois-sa,Transports Publics Neuchâtelois SA
transports-publics-vevey-montreux-chillon-villeneuve,Transports publics Vevey-Montreux-Chillon-Villeneuve
transports-vallee-de-joux-yverdon-ste-croix,Transports Vallée de Joux-Yverdon-Ste-Croix
trasporti-pubblici-luganesi,Trasporti Pubblici Luganesi
treib-seelisberg-bahn,Treib-Seelisberg-Bahn
trenitalia,Trenitalia
trenord,TRENORD
tri-train-rental-gmbh,TRI Train Rental GmbH
trilex-die-landerbahn-gmbh-dlb,trilex  - Die Länderbahn GmbH DLB
trilex-express-die-landerbahn-gmbh-dlb,trilex-express - Die Länderbahn GmbH DLB
uef-eisenbahn-verkehrsgesellschaft-mbh,UEF Eisenbahn-Verkehrsgesellschaft mbH
untersee-und-rhein,Untersee und Rhein
urlaubs-express,Urlaubs-Express
usedomer-baderbahn,Usedomer Bäderbahn
ustra-hannoversche-verkehrsbetriebe-ag,üstra Hannoversche Verkehrsbetriebe AG
valleilijn,Valleilijn
verein-dampfbahn-bern,Verein Dampfbahn Bern
verein-sachsischer-eisenbahnfreunde,Verein Sächsischer Eisenbahnfreunde
verkehrsbetrieb-der-landschaft-davos,Verkehrsbetrieb der Landschaft Davos
verkehrsbetrieb-liechtensteinmobil,Verkehrsbetrieb LIECHTENSTEINmobil
verkehrsbetriebe-der-stadt-biel,Verkehrsbetriebe der Stadt Biel
verkehrsbetriebe-der-stadt-st-gallen,Verkehrsbetriebe der Stadt St.Gallen
verkehrsbetriebe-glattal,Verkehrsbetriebe Glattal
verkehrsbetriebe-herisau,Verkehrsbetriebe Herisau
verkehrsbetriebe-kreuzlingen,Verkehrsbetriebe Kreuzlingen
verkehrsbetriebe-luzern,Verkehrsbetriebe Luzern
verkehrsbetriebe-schaffhausen,Verkehrsbetriebe Schaffhausen
verkehrsbetriebe-sti-ag,Verkehrsbetriebe STI AG
verkehrsbetriebe-zurich,Verkehrsbetriebe Zürich
verkehrsbetriebe-zurichsee-und-oberland,Verkehrsbetriebe Zürichsee und Oberland
verkehrsgesellschaft-mbh-untermain,Verkehrsgesellschaft mbH Untermain
vias-gmbh,VIAS GmbH
vias-rail-gmbh,VIAS Rail GmbH
vierwaldstattersee,Vierwaldstättersee
viking-line,Viking Line
vinschgaubahn,Vinschgaubahn
vlexx,vlexx
vogtlandbahn-die-landerbahn-gmbh-dlb,vogtlandbahn - Die Länderbahn GmbH DLB
vr,VR
vy,Vy
vy-tag,Vy Tåg
waldbahn-die-landerbahn-gmbh-dlb,waldbahn - Die Länderbahn GmbH DLB
waldenburgerbahn,Waldenburgerbahn
wales-borders,Wales & Borders
wanderbahn-im-regental,Wanderbahn im Regental
warszawska-kolej-dojazdowa,Warszawska Kolej Dojazdowa
wasserauen-ebenalp,Wasserauen-Ebenalp
weisse-arena-bergbahnen-ag,Weisse Arena Bergbahnen AG
wengen-mannlichen,Wengen-Männlichen
wengernalpbahn,Wengernalpbahn
wengernalpbahn-grindelwald-grund-eigergletscher,Wengernalpbahn Grindelwald Grund - Eigergletscher
weser-ems-bus,Weser-Ems-Bus
westbahn,WESTbahn
westfalenbahn,WestfalenBahn
westfalenbus,Westfalenbus
wiener-linien,Wiener Linien
wurttembergische-eisenbahn-gesellschaft-mbh,Württembergische Eisenbahn-Gesellschaft mbH
wutachtalbahn,Wutachtalbahn
wyker-dampfschiffs-reederei-fohr-amrum-gmbh,Wyker Dampfschiffs-Reederei Föhr-Amrum GmbH
wynental-und-suhrental-bahn,Wynental-und Suhrental-Bahn
zentralbahn,Zentralbahn
zermatt-bergbahnen-ag,Zermatt Bergbahnen AG
zillertalbahn,Zillertalbahn
zpcg-zeljeznicki-prevoz-crne-gore-ad,ZPCG Zeljeznicki prevoz Crne Gore AD
zssk,ZSSK
zugerbergbahn,Zugerbergbahn
zugerland-verkehrsbetriebe,Zugerland Verkehrsbetriebe
zugersee,Zugersee
zurichsee,Zürichsee
zweckverband-fur-den-nahverkehrsraum-leipzig, Zweckverband für den Nahverkehrsraum Leipzig
